2023-05-04:14:37:51,351, Crawling next site: http://www.wtatennis.com/wta-privacy-policy
2023-05-04:14:37:51,506, Finished crawling a site with 26 distinct players mentioned and 106 hyperlinks.
2023-05-04:14:37:51,507, Crawling next site: https://twitter.com/WTA
2023-05-04:14:37:51,797, Finished crawling a site with 1 distinct players mentioned and 106 hyperlinks.
2023-05-04:14:37:51,798, Crawling next site: https://weibo.com/wta
2023-05-04:14:37:52,039, Finished crawling a site with 0 distinct players mentioned and 6 hyperlinks.
2023-05-04:14:37:52,039, Crawling next site: https://wtacharities.wtatennis.com/
2023-05-04:14:37:53,312, Finished crawling a site with 0 distinct players mentioned and 0 hyperlinks.
2023-05-04:14:37:53,312, Crawling next site: https://wtacharities.wtatennis.com/
2023-05-04:14:37:53,971, Finished crawling a site with 0 distinct players mentioned and 0 hyperlinks.
2023-05-04:14:37:53,971, Crawling next site: https://wtt.com/
2023-05-04:14:37:54,082, Finished crawling a site with 0 distinct players mentioned and 0 hyperlinks.
2023-05-04:14:37:54,082, Crawling next site: https://www.atptour.com/
2023-05-04:14:37:54,485, Finished crawling a site with 1 distinct players mentioned and 186 hyperlinks.
2023-05-04:14:37:54,486, Crawling next site: https://www.atptour.com/en/privacy-policy
2023-05-04:14:37:55,027, Finished crawling a site with 1 distinct players mentioned and 140 hyperlinks.
2023-05-04:14:37:55,028, Crawling next site: https://www.billiejeankingcup.com/en/home.aspx
2023-05-04:14:37:55,065, Finished crawling a site with 0 distinct players mentioned and 102 hyperlinks.
2023-05-04:14:37:55,065, Crawling next site: https://www.facebook.com/WTA
2023-05-04:14:37:55,148, Finished crawling a site with 0 distinct players mentioned and 0 hyperlinks.
2023-05-04:14:37:55,149, Crawling next site: https://www.facebook.com/WTA
2023-05-04:14:37:55,238, Finished crawling a site with 0 distinct players mentioned and 0 hyperlinks.
2023-05-04:14:37:55,238, Crawling next site: https://www.hologic.com/
2023-05-04:14:37:55,360, Finished crawling a site with 0 distinct players mentioned and 0 hyperlinks.
2023-05-04:14:37:55,360, Crawling next site: https://www.instagram.com/wta/
2023-05-04:14:37:55,561, Finished crawling a site with 0 distinct players mentioned and 166 hyperlinks.
2023-05-04:14:37:55,561, Crawling next site: https://www.itftennis.com/home.aspx
2023-05-04:14:37:55,693, Finished crawling a site with 0 distinct players mentioned and 0 hyperlinks.
2023-05-04:14:37:55,694, Crawling next site: https://www.itia.tennis/
2023-05-04:14:37:56,257, Finished crawling a site with 0 distinct players mentioned and 0 hyperlinks.
2023-05-04:14:37:56,257, Crawling next site: https://www.modernhealth.com/
2023-05-04:14:37:56,407, Finished crawling a site with 1 distinct players mentioned and 58 hyperlinks.
2023-05-04:14:37:56,408, Crawling next site: https://www.morganstanley.com/articles/wta-partnership-2023
2023-05-04:14:37:56,557, Finished crawling a site with 0 distinct players mentioned and 91 hyperlinks.
2023-05-04:14:37:56,558, Crawling next site: https://www.sap.com/index.html?campaigncode=CRM-XH21-OSP-WTASpon
2023-05-04:14:37:56,734, Finished crawling a site with 2 distinct players mentioned and 100 hyperlinks.
2023-05-04:14:37:56,735, Crawling next site: https://www.teamworkonline.com/golf-tennis-jobs/protennisjobs/wta?employment_opportunity_search%5Bquery%5D=&employment_opportunity_search%5Bcategory_id%5D=&employment_opportunity_search%5Borganization_id%5D=29707&employment_opportunity_search%5Bcareer_level_id%5D=
2023-05-04:14:37:56,832, Finished crawling a site with 0 distinct players mentioned and 50 hyperlinks.
2023-05-04:14:37:56,833, Crawling next site: https://www.tennis-warehouse.com/?from=wta&utm_source=wta&utm_medium=shop_button&utm_campaign=navigation_bar
2023-05-04:14:37:57,022, Finished crawling a site with 0 distinct players mentioned and 20 hyperlinks.
2023-05-04:14:37:57,022, Crawling next site: https://www.tennisfame.com/
2023-05-04:14:37:57,152, Finished crawling a site with 0 distinct players mentioned and 0 hyperlinks.
